"name","gender","genres_liked","genres_disliked","description","age","job","hobby"
"Emily Johnson","F","['romance', 'family']","['horror', 'action']","a retired teacher. She enjoys playing volleyball with friends and spending time with her grandchildren. She has a soft spot for romance and family movies, as they remind her of her youth and the love she has for her family. She likes to watch movies like ""The Notebook"" and ""Mamma Mia"". She does not like horror movies because they are too intense for her, and she finds action movies to be too noisy and without any substance.","64","retired","Volleyball"
"Mark Thompson","M","['documentary', 'animation']","['horror', 'romance']","a student of biology. He has a passion for playing polo and loves to watch nature documentaries. He also enjoys watching animated movies with his little brother. His favorite genres are documentary and animation, because they allow him to learn about the world and escape from reality for a few hours. He likes to watch documentaries about wildlife and nature, and he enjoys animated movies such as ""Finding Nemo"" and ""The Lion King"". He does not like horror movies because they are too scary, and he finds romance movies to be too sappy and predictable.","24","student","Polo"
"Olivia Brown","F","['fantasy', 'comedy']","['horror', 'action']","a student of computer science. She loves to ride her bike and enjoys going to the movies with friends. Her favorite genres are fantasy and comedy, because they transport her to different worlds and make her laugh. She likes movies such as ""The Lord of the Rings"" and ""The Avengers"". She does not like horror movies because she finds them to be too scary, and she finds action movies to be too loud and lacking in substance.","18","student","Road biking"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","an event planner in a big company. He is a very active person, and in his spare time he loves to play squash with his friends. He is a very sociable person and he enjoys going out with his friends to the theater. His favorite genres are action and comedy because they make him feel excited and entertained. He dislikes horror movies because they are too intense and scary for him, and romance movies because they are too predictable.","54","Event Planner","Squash"
"Emily Johnson","F","['romance', 'animation']","['horror', 'action']","an advertising executive in a big company. She is a very creative person and she enjoys her job. In her spare time, she loves to go sledding with her family. She is a very emotional person and she enjoys going to the cinema with her friends to watch romance movies, because they make her feel emotional and connected. She dislikes horror movies because they are too intense and scary for her, and action movies because they are too violent.","34","Advertising Executive","Sledding"
"Mark Lee","M","['documentary', 'animation']","['horror', 'action']","a cartographer in a big company. He is a very curious person and he enjoys his job. In his spare time, he loves to play kabaddi with his friends. He is a very open-minded person and he enjoys going to the cinema to watch documentaries because they teach him new things about the world. He dislikes horror movies because they are too intense and scary for him, and action movies because they are too superficial and predictable.","25","Cartographer","Kabaddi"
"Sarah Williams","F","['comedy', 'animation']","['horror', 'romance']","a construction worker in a big company. She is a very strong person and she enjoys her job. In her spare time, she loves to tune cars with her friends. She is a very funny person and she enjoys going to the cinema with her friends to watch comedy movies, because they make her feel entertained and laugh. She dislikes horror movies because they are too intense and scary for her, and romance movies because they are too dramatic and predictable.","39","Construction Worker","Car tuning"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a rowing enthusiast, and in his free time he enjoys rowing on the river near his house. He works as a technician in an electronic company, he is a very skilled person and he loves his job. John's favorite movies are action and comedy movies, he enjoys the adrenaline rush of action movies and the laughter that comedy movies bring. John dislikes horror movies because they give him nightmares and romance movies because he finds them boring and predictable.","27","Technician","Sculling or rowing"
"Jane Smith","F","['romance', 'family']","['horror', 'action']","a volunteer in a local charity, she loves helping others and she feels fulfilled doing it. In her free time she enjoys reading romance novels and spending time with her family. She is a retired person and she has worked as a teacher her entire life, she loves her job and she misses it. Jane's favorite movies are romance and family movies, she enjoys the love stories and the values that family movies transmit. Jane dislikes horror movies because they are too scary for her and action movies because she finds them too violent.","70","retired","Volunteering"
"Michael Johnson","M","['documentary', 'animation']","['horror', 'action']","a social worker, he loves his job and he enjoys helping others. In his free time he enjoys walking with his dog in the park and watching movies. He loves animation and documentary movies because they teach him new things and they take him to new places. Michael dislikes horror movies because they are too scary for him and action movies because he finds them too violent.","48","Social Worker","Dog walking"
"Emily Williams","F","['romance', 'family']","['horror', 'comedy']","a dairy farmer, she loves taking care of her cows and the nature that surrounds her. In her free time she enjoys reading romance novels and spending time with her family. She is a retired person and she has worked as a dairy farmer her entire life, she loves her job and she misses it. Emily's favorite movies are romance and family movies, she enjoys the love stories and the values that family movies transmit. Emily dislikes horror movies because they are too scary for her and comedy movies because she finds them too trivial.","66","retired","Dairy Farming"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a retired farmer who lives in a small village in the countryside, he spends his time growing vegetables and taking care of his animals, he also likes to spend his free time watching movies, his favorite genres are action and comedy because they help him to forget about his daily routine and relax, he dislikes horror movies because they are too intense and romance movies because he finds them too predictable, John also enjoys playing chess and reading historical books.","69","retired","Farming"
"Emily Johnson","F","['romance', 'family']","['horror', 'action']","a coach in a local sports team, she is a very sensitive and emotional person, she enjoys spending her free time playing with her collection of dolls, she also likes to watch movies, her favorite genres are romance and family because they are sweet and touching, she dislikes horror movies because they are too scary and action movies because they are too violent, Emily also enjoys painting and listening to classical music.","43","Coach","Dolls"
"Michael Lee","M","['action', 'comedy']","['romance', 'family']","a concierge in a luxury hotel, he is a very extroverted and funny person, he spends his free time playing badminton with his friends, he also enjoys watching movies, his favorite genres are action and comedy because they are fun and entertaining, he dislikes romance and family movies because they are too soft and boring, Michael also enjoys cooking and traveling to new places.","49","Concierge","Badminton"
"Sarah Brown","F","['romance', 'family']","['horror', 'action']","a fashion designer, she is a very creative and imaginative person, she spends her free time playing chess with her friends, she also likes to watch movies, her favorite genres are romance and family because they are sweet and uplifting, she dislikes horror movies because they are too dark and action movies because they are too loud, Sarah also enjoys painting and dancing.","51","Fashion Designer","Chess"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","quite tall and has a muscular build. He has short black hair and green eyes. John is a very outgoing and adventurous person, he loves to travel and meet new people. He has a very contagious smile and is always making jokes. He is a very good listener and is always willing to help others. John is not a fan of romantic movies because he believes that real life is more romantic than any movie can ever be. He also doesn't like horror movies because he is a bit of a scaredy cat and can't handle watching scary movies. He enjoys action movies because they get his adrenaline pumping and make him feel excited and ready for new adventures. He also enjoys comedy movies because they help him to relax and forget about his daily problems. John's secondary hobbies are photography and cooking.","29","Door-to-Door Salesperson","Cycling"
"Alice Johnson","F","['romance', 'animation']","['horror', 'action']","of average height and has a slender build. She has long wavy blonde hair and blue eyes. Alice is a very kind and gentle person, she is always ready to help others and has a very soft spot for kids and animals. She is a very patient person and has a lot of empathy for others. She is not a fan of action movies because she believes that there is enough violence in the world and that we should promote peace and love instead of violence. She also doesn't like horror movies because she is a very sensitive person and can't handle watching scary movies. She enjoys romance movies because they make her feel warm and fuzzy and give her hope for finding her own prince charming. She also enjoys animation movies because they allow her to escape from reality and travel to magical worlds where everything is possible. Alice's secondary hobbies are knitting and playing the piano.","25","Bus Driver","Sport stacking"
"Christopher Thompson","M","['animation', 'comedy']","['horror', 'documentary']","quite short for his age and has a chubby build. He has curly blonde hair and big blue eyes. Christopher is a very imaginative and creative person, he is always drawing and painting and has a very vivid imagination. He is a very curious person and is always asking questions to learn more about the world. He is not a fan of horror movies because he is a bit of a scaredy cat and can't handle watching scary movies. He also doesn't like documentary movies because they are too real for him and don't allow him to escape from reality. He enjoys animation movies because they allow him to travel to magical worlds and meet amazing characters. He also enjoys comedy movies because they make him laugh and are a fun way to spend his time. Christopher's secondary hobbies are playing the piano and playing soccer.","6","schoolchild","Drawing and painting"
"Emily Wilson","F","['romance', 'documentary']","['horror', 'action']","of average height and has a solid build. She has short straight black hair and brown eyes. Emily is a very intelligent and determined person, she is always looking for new knowledge and loves to learn new things. She is a very organized person and has a very methodical way of doing things. She is not a fan of action movies because she believes that they are too superficial and that real life is more interesting than fictional action. She also doesn't like horror movies because she is a very rational person and doesn't believe in superstitions and","49","Chemist","Shoes"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a primary school student, He loves to learn new languages, he can speak 5 different languages, he also enjoys watching action movies and comedy movies, he dislikes horror movies because they give him nightmares and romance movies because he finds them boring, in his free time he likes to play soccer with his friends, he also enjoys listening to music and reading books.","7","schoolchild","Learning a new language"
"Emily Johnson","F","['romance', 'animation']","['horror', 'action']","a door-to-door salesperson, she enjoys figure skating, she also likes to watch romance movies and animation movies, she dislikes horror movies because they are too scary for her and action movies because they are too violent, in her free time she likes to paint, she also enjoys cooking and listening to jazz music.","43","Door-to-Door Salesperson","Figure Skating"
"Mark Lee","M","['documentary', 'comedy']","['horror', 'romance']","a retired person, he enjoys playing volleyball with his friends, he also likes to watch documentary movies and comedy movies, he dislikes horror movies because they are too intense and romance movies because they are too sappy, in his free time he likes to read books and listen to classical music, he also enjoys going for long walks in the park.","64","retired","Volleyball"
"Lucy Smith","F","['horror', 'action']","['romance', 'animation']","a paramedic, she enjoys tether car racing, she also likes to watch horror movies and action movies, she dislikes romance movies because they are too predictable and animation movies because they are too childish, in her free time she likes to play the guitar, she also enjoys hiking and listening to rock music.","29","Paramedic","Tether car"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","an apprentice in a car workshop, he likes to fix and collect vintage cars, his favorite genre is action because it makes him feel excited and adrenaline, he also likes comedy because it makes him laugh and relax after a hard day of work, he dislikes horror because it scares him and he is not a fan of romance because he finds it too mushy and unrealistic.","23","apprentice","Vintage cars"
"Jane Smith","F","['documentary', 'animation']","['horror', 'action']","an apprentice in a car workshop, she likes to go on safari and discover wildlife, her favorite genre is documentary because it allows her to learn about the world and its wonders, she also likes animation because it allows her to escape reality and have fun, she dislikes horror because it scares her and she is not a fan of action because it is too violent and stressful.","21","apprentice","Safari"
"Mark Lee","M","['action', 'comedy']","['horror', 'romance']","a bodyguard, he likes to play Esports in his free time, his favorite genre is action because it makes him feel strong and powerful, he also likes comedy because it makes him laugh and relax after a hard day of work, he dislikes horror because it scares him and he is not a fan of romance because he finds it too mushy and unrealistic.","32","Bodyguard","Esports"
"Angela Brown","F","['documentary', 'animation']","['horror', 'romance']","a journalist, she likes to practice trapshooting in her free time, her favorite genre is documentary because it allows her to learn about the world and its wonders, she also likes animation because it allows her to escape reality and have fun, she dislikes horror because it scares her and she is not a fan of romance because she finds it too mushy and unrealistic.","33","Journalist","Trapshooting"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","a schoolchild who loves acting and making his friends laugh with his funny acts, he has a very creative mind and spends most of his time thinking about new ideas for his next play, his favorite genres are action and comedy because they are full of adventures and make him laugh, he doesn't like horror movies because they are too scary for him and romance movies because he finds them boring.","9","schoolchild","Acting"
"Emily Adams","F","['documentary', 'animation']","['action', 'horror']","a geologist who loves collecting and pressing flowers in her spare time, she is a very calm and patient person, she enjoys watching documentaries to learn more about the world and animation movies to relax, she doesn't like action movies because they are too intense for her and horror movies because they are too scary, she prefers movies that are calm and educative.","40","Geologist","Flower collecting and pressing"
"Mark Johnson","M","['romance', 'family']","['horror', 'action']","a tailor who loves dog training and spending time with his dogs, he is a very gentle and caring person, he enjoys watching romance movies because they are full of love stories and family movies because they are heartwarming, he doesn't like horror movies because they are too scary and action movies because they are too intense, he prefers movies that are calm and loving.","46","Tailor","Dog training"
"Sarah Miller","F","['comedy', 'fantasy']","['horror', 'documentary']","a software developer who loves camping and spending time in nature, she is a very creative person and has a great sense of humor, she enjoys watching comedy movies to laugh and fantasy movies to escape from reality, she doesn't like horror movies because they are too scary and documentaries because they are too serious, she prefers movies that are funny and imaginative.","47","Software Developer","Camping"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a professional dancer. He is a kind and friendly person who loves to meet new people and learn from them. He is interested in psychology and often reads books on the subject, he also enjoys playing basketball in his free time. John's favorite movies are action comedies, he enjoys the adrenaline rush of action movies and the laughter that comedies bring. He dislikes horror movies because they give him nightmares and romance movies because he finds them cliché and predictable.","26","Dancer","Psychology"
"Emily Johnson","F","['documentary', 'animation']","['action', 'horror']","a student who is passionate about survivalism and preparing for natural disasters. She is an introverted person who loves spending her time reading and watching movies. Emily enjoys documentaries because they teach her new things and expand her knowledge, she also loves animation movies because they bring her back to her childhood and help her escape from reality. She dislikes action movies because they are too violent and give her anxiety, and horror movies because they are too scary for her.","24","student","Survivalism"
"Mark Davis","M","['action', 'comedy']","['romance', 'horror']","a brewery worker. He is a fun and outgoing person who loves to spend his time playing airsoft and going to the movies with his friends. He enjoys action and comedy movies because they are entertaining and make him laugh, he dislikes romance movies because they are too predictable and sappy, and horror movies because they are too scary and give him nightmares.","50","Brewery Worker","Airsoft"
"Lucy Williams","F","['romance', 'family']","['action', 'horror']","a retired person who spends her time playing bowling and watching movies. She is a kind and gentle person who loves to spend time with her family. She enjoys romance and family movies because they are heartwarming and make her feel good, she dislikes action movies because they are too violent and give her anxiety, and horror movies because they are too scary and give her nightmares.","67","retired","Bowling"
"John Doe","M","['action', 'comedy']","['horror', 'romance']","an apprentice in a local shop, he has a lot of interests in sports and his favorite hobby is coin collecting, he also enjoys swimming and hiking, his favorite movie genres are action and comedy, he dislikes horror and romance movies because he finds them too predictable and not exciting in his opinion.","16","apprentice","Coin collecting"
"Jane Smith","F","['romance', 'animation']","['horror', 'action']","a student in a local high school, she has a lot of interests in arts and her favorite hobby is collecting radio-controlled models, she also enjoys painting and playing the piano, her favorite movie genres are romance and animation, she dislikes horror and action movies because she finds them too scary and intense in her opinion.","17","student","Radio-controlled model collecting"
"Michael Brown","M","['documentary', 'family']","['horror', 'action']","a pharmacist in a local pharmacy, he has a lot of interests in health and fitness and his favorite hobby is road biking, he also enjoys hiking and playing basketball, his favorite movie genres are documentary and family, he dislikes horror and action movies because he finds them too violent and not educational in his opinion.","39","Pharmacist","Road biking"
"Emily Johnson","F","['fantasy', 'comedy']","['horror', 'romance']","a schoolchild in a local school, she has a lot of interests in languages and her favorite hobby is learning a new language, she also enjoys reading and playing the guitar, her favorite movie genres are fantasy and comedy, she dislikes horror and romance movies because she finds them too scary and not funny in her opinion.","13","schoolchild","Learning a new language"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a computer programmer and is very passionate about his job. He spends most of his time coding and developing new softwares, he also enjoys going to the gym and playing basketball with his friends. John's favorite hobby is jurisprudential, he loves to read and study about different laws and regulations. John's favorite genres of movies are action and comedy, he loves the excitement and the adrenaline rush of action movies and also enjoys laughing and having a good time while watching comedy movies. John dislikes horror movies because he is easily scared and romance movies because he finds them too cheesy and predictable.","39","Computer Programmer","jurisprudential"
"Emma Wilson","F","['romance', 'animation']","['horror', 'action']","currently an apprentice in a big company. Emma is a very creative person, she loves to paint and draw in her free time. She also enjoys going for long walks in the park and spending time with her friends. Emma's favorite hobby is benchmarking, she loves to compare different products and services and find the best ones. Emma's favorite genres of movies are romance and animation, she enjoys watching love stories and cartoons because they make her feel happy and carefree. Emma dislikes horror movies because they are too scary and action movies because they are too intense.","23","apprentice","Benchmarking"
"Alexander Hamilton","M","['fantasy', 'family']","['horror', 'documentary']","currently attending elementary school. Alexander is a very energetic and fun loving kid, he enjoys playing with his friends and doing different sports. Alexander's favorite hobby is playing drums, he loves to play different rhythms and songs on his drum set. Alexander's favorite genres of movies are fantasy and family, he enjoys watching movies with magical creatures and happy endings. Alexander dislikes horror movies because they are too scary and documentaries because they are too boring.","11","schoolchild","Playing drums"
"Isabella Thompson","F","['documentary', 'comedy']","['horror', 'fantasy']","currently attending elementary school. Isabella is a very smart and curious kid, she loves to learn new things and explore the world around her. Isabella's favorite hobby is building with Lego, she loves to create different structures and designs with her Lego bricks. Isabella's favorite genres of movies are documentary and comedy, she enjoys watching educational movies and laughing at funny scenes. Isabella dislikes horror movies because they are too scary and fantasy movies because they are too unrealistic.","10","schoolchild","Building with Lego"
"John Smith","M","['action', 'comedy']","['horror', 'romance']","a former teacher and now enjoys his retirement with jogging every morning and watching movies in his free time. He loves action movies because they keep him on the edge of his seat, and he finds them very entertaining. He also enjoys comedy movies as they always manage to make him laugh. On the other hand, he dislikes horror movies because they give him nightmares and he is not a fan of romance movies as he finds them too cliché and predictable. John also enjoys cooking and gardening in his free time.","71","retired","Jogging"
"Emily Johnson","F","['documentary', 'family']","['horror', 'fantasy']","an insurance agent and enjoys learning about new religions and cultures in her free time. She loves documentaries as they provide her with a wealth of knowledge and new perspectives. She also loves family movies as they remind her of the time she spent watching movies with her children when they were younger. Emily dislikes horror movies because she finds them too scary and she is not a fan of fantasy movies as she finds them too unrealistic. Emily also enjoys hiking and reading in her free time.","53","Insurance Agent","Religious studies"
"Mark Lee","M","['animation', 'fantasy']","['horror', 'action']","a schoolchild and loves learning magic tricks in his free time. He loves animation movies because they are fun and colorful and they always manage to make him laugh. He also loves fantasy movies as they transport him to different worlds and allow him to imagine a world full of magic. Mark dislikes horror movies because they are too scary for him and he is not a fan of action movies as they are too intense. Mark also enjoys playing soccer and reading in his free time.","11","schoolchild","Learning magic tricks"
"Sarah Williams","F","['romance', 'fantasy']","['horror', 'action']","a botanist and enjoys studying the stars in her free time. She loves romance movies as they always have a happy ending and they remind her of the love she has for her husband. She also loves fantasy movies as they allow her to escape to different worlds full of magic and wonder. Sarah dislikes horror movies because they are too scary and she is not a fan of action movies as they are too intense. Sarah also enjoys painting and gardening in her free time.","58","Botanist","Astronomy"
"John Miller","M","['action', 'comedy']","['horror', 'romance']","a","33","Botanical Illustrator","Bowling"
"Sarah Johnson","F","['documentary', 'family']","['horror', 'action']","a","67","retired","Railway modelling"
"Michael Brown","M","['animation', 'comedy']","['horror', 'romance']","a","68","retired","Animation"
"Emily Smith","F","['animation', 'family']","['horror', 'action']","a","5","schoolchild","Backing"
"John Smith","M","['action', 'comedy']","['romance', 'horror']","a demolition worker who enjoys building high-power rockets in his free time. He loves action movies because they are full of excitement and keep him on the edge of his seat. He also enjoys comedy movies because they help him to relax and laugh after a long day of work. John has a preference for action movies because they are usually filled with intense and thrilling moments, this genre is also known for its spectacular stunts and special effects that make the viewer feel like they are part of the story. John dislikes romance movies because he finds them too predictable and boring, in his opinion they are not exciting and they don't have enough action. He also avoids horror movies because they are too scary for him and they give him nightmares, he prefers to watch movies that make him feel good and happy.","35","Demolition Worker","High-power rocketry"
"Emily Johnson","F","['romance', 'documentary']","['horror', 'action']","a retired person who enjoys doing sand art in her free time. She loves romance movies because they are full of love stories that make her feel nostalgic and hopeful about love. She also enjoys documentaries because they allow her to learn about different topics and expand her knowledge. Emily has a preference for romance movies because they are usually filled with love stories that make the viewer feel emotional and connected to the characters, this genre is also known for its beautiful settings and costumes that transport the viewer to another place and time. Emily dislikes horror movies because they are too scary for her and they give her nightmares, she prefers to watch movies that make her feel good and optimistic. She also avoids action movies because they are too intense and full of violence, in her opinion they are not necessary and they don't have enough substance.","64","retired","Sand art"
"Mark Thompson","M","['fantasy', 'animation']","['horror', 'action']","a barber who enjoys doing LARPing in his free time. He loves fantasy movies because they are full of magic and creatures that make him feel like a kid again. He also enjoys animation movies because they are usually filled with colorful characters and funny moments. Mark has a preference for fantasy movies because they are usually filled with magic and amazing creatures that make the viewer feel like they are part of a magical world, this genre is also known for its beautiful costumes and special effects that transport the viewer to another place. Mark dislikes horror movies because they are too scary for him and they give him nightmares, he prefers to watch movies that make him feel good and happy. He also avoids action movies because they are too intense and full of violence, in his opinion they are not necessary and they don't have enough substance.","42","Barber","LARPing"
"Samantha Taylor","F","['comedy', 'family']","['horror', 'action']","a baker who enjoys doing slot car racing in her free time. She loves comedy movies because they are fun and make her laugh, she also enjoys family movies because they are usually filled with uplifting and heartwarming moments. Samantha has a preference for comedy movies because they are usually filled with funny moments and jokes that make the viewer feel good and","60","Baker","Slot car racing"
"John Miller","M","['action', 'horror']","['romance', 'comedy']","a very curious and adventurous person. He loves to spend time outdoor, especially in the nature. His hobby is to collect the leaves of different trees, he has a big collection of it, and he enjoys to identify them and learn more about their features. He is an apprentice in a carpentry workshop, where he is learning the techniques of woodworking. John is a fan of action and horror movies, he loves the adrenaline rush and the feeling of being scared. He dislikes romance and comedy movies, because he finds them too predictable and not interesting enough for him.","19","apprentice","Leaves"
