,name,gender,description,age,job,hobby,genres_liked,genres_disliked
12,Alex,M,"passionate about powerlifting and spending time in the gym. He is a botanical illustrator, which allows him to express his artistic side. Alex loves watching movies, especially crime, horror, fantasy, and comedy. He is a big fan of the Marvel universe and enjoys the action-packed scenes in his favorite movies. He enjoys the thrill of crime and horror movies, but also appreciates the escapism of fantasy and comedy. In his free time, he enjoys reading books on botany and illustrating plants.",31,Botanical Illustrator,Powerlifting,"['crime', 'horror', 'fantasy', 'comedy']",['drama']
13,Sarah,F,"passionate about renovating old houses and properties. She is a claims adjuster, which allows her to be detail-oriented and analytical. Sarah loves watching movies, especially action, romance, comedy, and animated. She enjoys the adventure of action movies, the romance of romantic movies, and the humor of comedies. Sarah also likes animated movies because they remind her of her childhood. In her free time, she enjoys reading home decorating magazines and searching for her next renovation project.",27,Claims Adjuster,Renovating,"['action', 'romance', 'comedy', 'animated']","['drama', 'thriller']"
14,Ethan,M,"passionate about photography and capturing the beauty of nature. He is a chemical engineer, which allows him to use his analytical skills in his work. Ethan loves watching movies, especially horror, adventure, romance, and science fiction. He enjoys the suspense and thrills of horror movies, the adventure of adventure movies, and the romance of romantic movies. Ethan also appreciates science fiction movies that make him think about the future. In his free time, he enjoys taking pictures of landscapes and wildlife.",49,Chemical Engineer,Photography,"['horror', 'adventure', 'romance', 'science fiction']","['drama', 'comedy', 'fantasy', 'thriller']"
15,Emily,F,"passionate about herping and searching for new reptiles and amphibians. She is retired, but she keeps herself busy with her hobby. Emily loves watching movies, especially thriller, drama, animated, and horror. She enjoys the suspense and tension of thriller movies, the emotional depth of drama movies, the charm of animated movies, and the chills of horror movies. Emily does not enjoy fantasy and science fiction movies because she prefers reality-based stories. In her free time, she enjoys reading books about reptiles and amphibians and going on herping trips.",70,retired,Herping,"['thriller', 'drama', 'animated', 'horror']","['fantasy', 'science fiction']"
16,Lily,F,"a welder, and her hobby is building model aircraft. She enjoys spending her free time tinkering with the delicate models, painting each piece with precision and care. Her interest in aircraft also extends to her love of aviation history, and she can often be found reading books and watching documentaries about the subject. Lily is a big fan of romantic comedies, and her favorite movie is ""The Notebook"" which she has watched countless times. She also enjoys animated movies such as ""Up"" and ""Toy Story"". In her free time, she loves to dance and go to musicals.",50,Welder,Model aircraft,"['comedy', 'romance', 'animated', 'crime']","['adventure', 'documentary']"
17,James,M,"an apprentice and his hobby is gold prospecting. He enjoys the thrill of the hunt and the adventure that comes with searching for gold in the wilderness. His love of the outdoors also extends to his interest in camping and hiking. James is a big fan of romantic movies and his favorite movie is ""Titanic"" which he has watched many times. He also enjoys crime movies such as ""The Godfather"" and ""Goodfellas"". He is also fond of animated movies such as ""Frozen"" and ""Aladdin"". In his free time, he loves to play the guitar and sing.",21,apprentice,Gold prospecting,"['romance', 'crime', 'animated', 'documentary']","['fantasy', 'horror', 'action']"
18,Sarah,F,"a video editor and her hobby is meditation. She enjoys the peace and quiet of her daily meditation sessions, which help her to stay centered and focused. Sarah is a big fan of drama movies, and her favorite movie is ""The Shawshank Redemption"" which she finds very inspiring. She also enjoys comedy and thriller movies such as ""The Hangover"" and ""The Silence of the Lambs"". She doesn't like animated movies, adventure, and documentary movies. She enjoys spending her free time reading and writing poetry.",60,Video Editor,Meditation,"['drama', 'comedy', 'thriller', 'crime']","['animated', 'adventure', 'documentary', 'romance']"
19,William,M,"a student and his hobby is mineral collecting. He enjoys the thrill of the hunt and the challenge of finding rare and unique minerals. His love of science also extends to his interest in geology and he can often be found reading books and watching documentaries about the subject. William is a big fan of crime, thriller, and horror movies. His favorite movie is ""The Silence of the Lambs"" which he finds very chilling. He also enjoys comedy movies such as ""The Hangover"" and ""Step Brothers"". He doesn't like romance, animated, documentary, and science fiction movies. In his free time, he loves to play video games and go to the gym.",23,student,Mineral collecting,"['crime', 'thriller', 'horror', 'comedy']","['romance', 'animated', 'documentary', 'science fiction']"
20,Lily,F,"an apprentice in a local bakery. She is a very outgoing and friendly person, always ready to make new friends. She has a passion for bowling and spends most of her free time in the alley, honing her skills. She enjoys watching movies, especially dramas and comedies, and is a big fan of animated movies, particularly those produced by Pixar. She also enjoys adventure movies and often gets lost in the fictional worlds they create. She doesn't like romance movies, finding them too predictable and cheesy. She also dislikes horror movies, as they tend to give her nightmares, and action and crime movies, as they tend to glorify violence.",23,apprentice,Bowling,"['drama', 'comedy', 'animated', 'adventure']","['romance', 'horror', 'action', 'crime']"
21,William,M,"a schoolchild and is currently learning French. He is a curious child and is always eager to learn new things. He has a passion for watching movies, particularly thrillers and dramas, as they tend to keep him on the edge of his seat. He also enjoys animated movies, particularly those produced by Studio Ghibli. He also likes horror movies, as they tend to be exciting and thrilling. He doesn't like comedy movies, as he finds them too silly and unrealistic. He also dislikes crime and romance movies, as they tend to be too violent and mature for his liking.",4,schoolchild,Learning a new language,"['thriller', 'drama', 'animated', 'horror']","['comedy', 'crime', 'romance']"
22,Emma,F,"retired and spends most of her time birdwatching and gardening. She is a very active and independent person, who enjoys staying busy. She has a passion for watching movies, particularly action and science fiction movies, as they tend to be exciting and full of adventure. She also enjoys documentaries, as they tend to be informative and educational. She also likes crime movies, as they tend to be suspenseful and thrilling. She doesn't like thriller movies, as they tend to be too intense and scary for her liking.",64,retired,Birdwatching,"['action', 'science fiction', 'documentary', 'crime']",['thriller']
23,David,M,"a student and has a passion for amateur geology. He enjoys exploring the natural world and often goes on hikes to collect rocks and minerals. He has a passion for watching movies, particularly crime and thriller movies, as they tend to be exciting and suspenseful. He also enjoys fantasy movies, as they tend to be imaginative and full of adventure. He also likes drama movies, as they tend to be realistic and thought-provoking. He doesn't like horror movies, as they tend to",17,student,Amateur geology,"['crime', 'thriller', 'fantasy', 'drama']","['horror', 'romance']"
24,Emily Johnson,F,"a casino dealer and a part-time student, studying business management. She is passionate about card collecting and has a vast collection of cards from different parts of the world. Her favorite hobby is hiking and she loves spending time in the mountains. She is an avid movie lover and her favorite genres are drama, comedy, action, and adventure. She enjoys watching movies that have a lot of suspense and excitement. Some of her favorite movies include ""The Dark Knight"", ""Inception"", ""The Shawshank Redemption"" and ""The Godfather"". She is not a big fan of animated movies, romance and science fiction. She finds animated movies to be childish and romance movies to be predictable and cliche. She also doesn't like science fiction movies as she finds them too unrealistic and hard to relate to.",29,Casino Dealer,Cartophily (card collecting),"['drama', 'comedy', 'action', 'adventure']","['animated', 'romance', 'science fiction']"
25,David Smith,M,"a hairdresser and a part-time musician. He is passionate about pinball and has a collection of pinball machines at his house. His favorite hobby is playing guitar and he loves attending concerts. He is a big movie buff and his favorite genres are romance, drama, fantasy, and horror. He enjoys watching movies that have a lot of emotions and suspense. Some of his favorite movies include ""Titanic"", ""The Notebook"", ""The Lord of the Rings"" and ""The Shining"". He is not a big fan of comedy movies as he finds them too predictable and unrealistic. He prefers movies that are more grounded in reality and that explore the human condition.",36,Hairdresser,Pinball,"['romance', 'drama', 'fantasy', 'horror']",['comedy']
26,Sarah Lee,F,"retired and has a passion for digital hoarding. She loves collecting digital items such as e-books, online courses, and software. Her favorite hobby is playing video games and she loves playing first-person shooter games. She is a big movie fan and her favorite genres are action, thriller, documentary, and fantasy. She enjoys watching movies that have a lot of suspense and excitement. Some of her favorite movies include ""Die Hard"", ""The Silence of the Lambs"", ""The Social Dilemma"" and ""The Lord of the Rings"". She is not a big fan of comedy and romance movies as she finds them too predictable and cliche. She prefers movies that are more grounded in reality and that explore complex themes such as politics and technology.",64,retired,Digital hoarding,"['action', 'thriller', 'documentary', 'fantasy']","['comedy', 'romance']"
27,John Taylor,M,"retired and has a passion for renovating old houses. He loves restoring the beauty and charm of old buildings. His favorite hobby is woodworking and he loves creating his own furniture. He is a big movie fan and his favorite genres are fantasy, science fiction, crime, and action. He enjoys watching movies that have a lot of imagination and creativity. Some of his favorite movies include ""The Lord of the Rings"", ""Star Wars"", ""The Godfather"" and ""Goodfellas"". He is not a big fan of animated and thriller movies as he finds them too predictable and unrealistic. He prefers movies that are more grounded in reality and that explore the human condition.",73,retired,Renovating,"['fantasy', 'science fiction', 'crime', 'action']","['animated', 'thriller']"
28,Ava Grey,F,"a dairy farmer, she loves growing flowers on her free time. Her favorite hobby is to spend time in her garden, planting, watering, and taking care of her flowers. She is a very romantic person who loves watching love stories and romantic comedies. She is a big fan of fantasy films, especially those with a touch of romance. She loves documentaries, especially those that are educational and informative. Ava Grey dislikes adventure films, science fiction and animated films. Some of her favorite movies are ""The Notebook"", ""The Fault in Our Stars"", ""The Secret Garden"", ""The Lord of the Rings: The Return of the King"", and ""The Iliad"". She loves the romantic and emotional aspect of these films and how they make her feel. She is also fond of documentaries that are based on real-life stories and events.",50,Dairy Farmer,Flower growing,"['action', 'romance', 'fantasy', 'documentary']","['adventure', 'science fiction', 'animated']"
29,Max Brown,M,"retired and loves playing badminton as a hobby. He enjoys watching comedy films, especially those that are light-hearted and easy to watch. He is also a big fan of crime films, especially those that are suspenseful and exciting. He also loves horror films",73,retired,Badminton,"['comedy', 'crime', 'horror', 'action']","['science fiction', 'documentary', 'animated', 'romance']"
30,Emily Green,F,"a web developer and loves architecture. Her favorite hobby is to sketch and draw buildings and homes. She is a big fan of science fiction films, especially those that are futuristic and imaginative. She also loves fantasy films, especially those that are set in a magical world. She also enjoys animated films, especially those that are family-friendly and have a great story. Emily Green dislikes crime films, horror films, and documentaries. Some of her favorite movies are ""The Matrix"", ""Avatar"", ""The Lord of the Rings: The Fellowship of the Ring"", ""Up"", and ""Beauty and the Beast"". She loves the imagination and creativity of these films and how they transport her to another world. She is also fond of animated films that have a great story and are family-friendly.",30,Web Developer,Architecture,"['science fiction', 'fantasy', 'animated', 'romance']","['crime', 'horror', 'documentary']"
31,Ethan Green,M,"a nutritionist and loves meteorology. His favorite hobby is to study weather patterns and forecasting. He is a big fan of action films, especially those that are fast-paced and exciting. He also enjoys documentaries, especially those that are based on true stories and events. He is also a fan of crime films and dramas. Ethan Green dislikes romance films, thriller films, and science fiction films. Some of his favorite movies are ""The Fast and the Furious"", ""Inception"", ""The Shawshank Redemption"", ""The Wolf of Wall Street"", and ""Goodfellas"". He loves the intensity and excitement of these films and how they keep him on the edge of",40,Nutritionist,Meteorology,"['action', 'documentary', 'crime', 'drama']","['romance', 'thriller', 'science fiction']"
32,Emma Stone,F,"retired and loves cycling, it's her daily routine to ride her bike around the city. She is a big fan of animated movies, specially those based on children's books, she also loves crime movies, she likes to see the detective work and the solving of the puzzle. She also enjoys drama movies, she likes to see the characters development and the story unfolding. Fantasy is also one of her favorite genres, she loves to escape reality and get lost in a magical world. She dislikes thriller movies, finding them too intense and scary. She also doesn't like horror movies, they make her too uncomfortable.",68,retired,Cycling,"['animated', 'crime', 'drama', 'fantasy']","['thriller', 'horror']"
33,William Smith,M,"an apprentice and his hobby is collecting phonecards, he finds it exciting to find rare and unique ones. He is a big fan of science fiction movies, he likes to see the futuristic technology and the different worlds. He also likes thriller movies, finding them intense and exciting. He also enjoys romance movies, he likes to see the love story and the emotions. He also enjoys adventure movies, he likes to see the excitement and the danger. He dislikes drama movies, finding them boring and uninteresting.",19,apprentice,Fusilately (phonecard collecting),"['science fiction', 'thriller', 'romance', 'adventure']",['drama']
34,Rachel Green,F,"a schoolchild and her hobby is photography, she loves to capture memories and moments. She is a big fan of action movies, she likes to see the fighting and the adventure. She also likes science fiction movies, she likes to see the different worlds and the technology. She also enjoys crime movies, she likes to see the detective work and the solving of the puzzle. She also likes horror movies, she likes to be scared and thrilled. She dislikes fantasy movies, finding them too unrealistic. She also doesn't like documentary movies, finding them too educational and boring. She also doesn't like animated movies, finding them too childish. She also dislikes drama movies, finding them too slow and boring.",11,schoolchild,Photography,"['action', 'science fiction', 'crime', 'horror']","['fantasy', 'documentary', 'animated', 'drama']"
35,Jack Johnson,M,"a software developer and his hobby is baking, he finds it calming and creative. He is a big fan of science fiction movies, he likes to see the futuristic technology and the different worlds. He also likes thriller movies, finding them intense and exciting. He also enjoys romance movies, he likes to see the love story and",29,Software Developer,Baking,"['science fiction', 'thriller', 'romance', 'adventure']",['horror']
36,Aaliyah Chen,F,"a schoolchild. She enjoys writing stories about magic and adventure. Her favorite genres are comedy, romance, science fiction, and adventure. She likes to laugh and dream about fantastic worlds. Her least favorite genres are drama and horror, she prefers to avoid movies that make her cry or scare her. She loves spending time with her friends and family, playing board games and reading books.",8,schoolchild,Writing stories,"['comedy', 'romance', 'science fiction', 'adventure']","['drama', 'animated', 'horror']"
37,Ethan Thompson,M,"retired. He has a great passion for botany, and he enjoys spending his time in his garden. He likes to watch documentaries about plants and nature. His favorite genres are documentary, action, animated, and romance. He enjoys movies that make him feel inspired and entertained. He prefers to avoid thriller, science fiction, horror, and fantasy movies. He loves spending time with his grandchildren and family, playing board games and watching movies together.",67,retired,Botany,"['documentary', 'action', 'animated', 'romance']","['thriller', 'science fiction', 'horror', 'fantasy']"
38,Isabella Rodriguez,F,"a schoolchild. She loves playing card games with her friends, she is very competitive. Her favorite genres are comedy, fantasy, action, and drama. She likes to laugh, imagine and be entertained by movies that have a good story. She prefers to avoid horror, romance, science fiction movies, she doesn’t like to be scared or have mushy feelings. She loves spending time with her friends and family, playing card games and watching movies together.",8,schoolchild,Card games,"['comedy', 'fantasy', 'action', 'drama']","['horror', 'romance', 'science fiction']"
39,James Davis,M,"a social worker. He has a great passion for philately, he enjoys collecting stamps from different countries. He likes to watch animated, adventure, comedy, and thriller movies. He enjoys movies that make him feel happy, inspired, and entertained. He prefers to avoid fantasy, action, crime, and science fiction movies. He loves spending time with his family, playing board games and watching movies together.",35,Social Worker,Philately,"['animated', 'adventure', 'comedy', 'thriller']","['fantasy', 'action', 'crime', 'science fiction']"
40,Lily Thompson,F,"very passionate about acting. She is a schoolchild and loves to spend her time on the stage. Lily has a slender build and long, curly hair. She is very talented in acting and has been a part of many school plays. Lily loves to watch action, crime, adventure and horror movies. Her favorite movies are ""The Avengers"", ""Ocean's Eleven"", ""Indiana Jones"" and ""The Shining"". She enjoys the thrill and excitement of these movies and finds them very captivating. Lily is not a big fan of romance movies and finds them boring. She also dislikes documentaries as she finds them dry and uninteresting.",15,schoolchild,Acting,"['action', 'crime', 'adventure', 'horror']","['romance', 'documentary']"
41,Henry Williams,M,"retired and spends most of his time engaging in his hobby of slot car racing. He is a very competitive person and loves the thrill of the race. Henry is a tall man with a bald head and a beard. He is very knowledgeable about the history of slot car racing and loves to share his knowledge with others. Henry enjoys watching documentaries, drama, comedy and crime movies. His favorite movies are ""The King's Speech"", ""The Shawshank Redemption"", ""The Godfather"" and ""Goodfellas"". He finds these movies very informative and enjoyable. Henry is not a big fan of romance movies and finds them unrealistic. He also dislikes horror and animated movies as he finds them too predictable.",66,retired,Slot car racing,"['documentary', 'drama', 'comedy', 'crime']","['romance', 'horror', 'animated']"
42,Emily Smith,F,"a student and loves to curl. She is very competitive and loves the thrill of the game. Emily is a tall girl with a slender build and long, curly hair. She is very skilled at curling and has won many competitions. Emily loves to watch thriller, romance, science fiction and animated movies. Her favorite movies are ""Gone Girl"", ""Titanic"", ""Inception"" and ""Up"". She enjoys the suspense and romance of these movies. Emily is not a big fan of fantasy movies as she finds them too unrealistic. She enjoys watching movies that are based on real events.",20,student,Curling,"['thriller', 'romance', 'science fiction', 'animated']",['fantasy']
43,David Evans,M,"an illustrator and has a unique hobby of collecting fingerprints. He loves the challenge of finding new and unique fingerprints. David is a middle-aged man with a beer belly and graying hair. He is very knowledgeable about fingerprinting and loves to share his knowledge with others. David enjoys watching adventure, comedy, thriller and drama movies. His favorite",50,Illustrator,Fingerprint collecting,"['adventure', 'comedy', 'thriller', 'drama']","['documentary', 'action']"
44,Jake,M,"a schoolchild and his hobby is playing guitar. He is a big fan of thriller, science fiction, action and documentary movies. He likes to learn new things and enjoys watching movies that offer a new perspective on the world. He is not a big fan of fantasy or romance movies, as he finds them too predictable and unrealistic. He prefers movies that are based on true events, and that offer a glimpse into the unknown. He is always looking for new and exciting adventures, and is never satisfied with just watching a movie, he likes to be part of the action.",10,schoolchild,Playing guitar,"['thriller', 'science fiction', 'action', 'documentary']","['fantasy', 'romance']"
45,Emily,F,"a student and her hobby is flower growing. She is a big fan of drama, science fiction, animated, fantasy movies. She likes to escape reality and lose herself in a world of fantasy and imagination. She is not a big fan of romance, crime, action, comedy movies, as she finds them too predictable and unrealistic. She prefers movies that make her think and feel, and that offer a new perspective on the world. She is always looking for new and exciting adventures, and is never satisfied with just watching a movie, she likes to be part of the action.",18,student,Flower growing,"['drama', 'science fiction', 'animated', 'fantasy']","['romance', 'crime', 'action', 'comedy']"
46,James,M,"an apprentice and his hobby is whale watching. He is a big fan of science fiction, drama, horror, action movies. He likes to be scared and thrilled, and enjoys watching movies that offer a new perspective on the world. He is not a big fan of romance or fantasy movies, as he finds them too predictable and unrealistic. He prefers movies that are based on true events, and that offer a glimpse into the unknown. He is always looking for new and exciting adventures, and is never satisfied with just watching a movie, he likes to be part of the action.",23,apprentice,Whale watching,"['science fiction', 'drama', 'horror', 'action']","['romance', 'fantasy']"
47,Sophia,F,"retired and her hobby is mineral collecting. She is a big fan of romance, adventure, documentary, crime movies. She likes to be transported to another world and escape reality, and enjoys watching movies that offer a glimpse into the past. She is not a big fan of comedy, fantasy, animated, science fiction movies, as she finds them too unrealistic and childish. She prefers movies that are based on true events, and that offer a glimpse into the unknown. She is always looking for new and exciting adventures, and is never satisfied with just watching a movie, she likes to be part of the action.",62,retired,Mineral collecting,"['romance', 'adventure', 'documentary', 'crime']","['comedy', 'fantasy', 'animated', 'science fiction']"
48,Ava Thompson,F,"a conservationist and a passionate collector of old matchboxes, known as phillumenist. She has a keen interest in preserving the environment and her love for nature can be seen in her work. Ava is a fun loving person and has a good sense of humor, which can often be seen in her love for comedy movies. She enjoys watching romantic movies, especially those that are set in nature. Her favorite horror movies are the classic ones that are known for their suspense and thrill. Ava is not a big fan of science fiction and action movies, as she finds them too violent and fast-paced. Some of her favorite movies include ""The Shape of Water"", ""The Secret Life of Plants"", ""The Big Night"", ""Jurassic Park"" and ""The Silence of the Lambs"".",57,Conservationist,Phillumeny,"['horror', 'documentary', 'comedy', 'romance']","['science fiction', 'action']"
49,Owen Brown,M,"an apprentice and has a great passion for reptiles and amphibians, which he calls herping. He spends most of his free time in the woods, searching for new species of reptiles and amphibians. Owen is a thrill-seeker and loves action and thriller movies that have a lot of intense scenes. He also enjoys watching documentary movies that are focused on nature and wildlife. Owen is not a big fan of horror movies, as he finds them too scary and unrealistic. He also doesn't like science fiction movies, as he finds them too futuristic and unrelatable. Some of his favorite movies include ""Jurassic Park"", ""The Hunt for Red October"", ""Saving Private Ryan"", ""The Fast and the Furious"" and ""The Bourne Identity"".",21,apprentice,Herping,"['romance', 'documentary', 'action', 'thriller']","['horror', 'science fiction', 'comedy', 'drama']"
50,Emily Wilson,F,"retired and has a great passion for playing roundnet, a sport that involves using a net to hit a small rubber ball over a net. She loves to stay active and plays roundnet regularly. Emily enjoys watching adventure movies that are set in exotic locations, and loves romance movies that are filled with love, passion and drama. She also enjoys watching documentary movies that are focused on nature and wildlife. Emily is not a big fan of animated or fantasy movies, as she finds them too unrealistic and childish. Some of her favorite movies include ""The Secret Life of Walter Mitty"", ""The Lion King"", ""The Secret Life of Plants"", ""The Secret Life of Walter Mitty"" and ""The Secret Life of Walter Mitty"".",72,retired,Roundnet,"['adventure', 'romance', 'documentary', 'action']","['animated', 'fantasy']"
51,Ethan White,M,"a postal worker and has a great passion for playing roundnet, a sport that involves using a net to hit a small rubber ball over a net. He loves to stay active and plays roundnet regularly. Ethan enjoys watching documentary movies that are focused on science, technology and innovation. He also enjoys watching animated movies that are filled with adventure and imagination. Ethan is not a big fan of romance movies, as he finds them too predictable and uninteresting. He also doesn't like fantasy movies, as he finds them too unrealistic and childish. Some of his favorite movies include ""The Matrix"", ""Her"", ""The Social Network"", ""Inception"" and ""The Incredibles"".",25,Postal Worker,Roundnet,"['documentary', 'drama', 'science fiction', 'animated']","['romance', 'fantasy', 'thriller']"
52,Lily Chen,F,"a librarian and a passionate amateur astronomer. She is always looking for new books to add to the library's collection and spends much of her free time observing the night sky. She is a bit of a bookworm and loves to read fantasy and comedy books. She is also a big fan of adventure and thriller movies. Some of her favorite movies include ""Star Wars"", ""The Godfather"", ""Indiana Jones"" and ""The Bourne Identity"". She is a bit of a film buff and enjoys watching classic and cult movies. She is not a big fan of horror movies and finds most romance movies to be predictable and cliche.",33,Librarian,Astronomy,"['fantasy', 'comedy', 'adventure', 'thriller']","['horror', 'romance']"
53,Ethan Lee,M,"a claims adjuster and a proud member of his local marching band. He is a big fan of animated movies, especially those made by Disney and Pixar. He also loves adventure and documentary movies. He finds horror movies to be thrilling and scary, but not too graphic. He is not a big fan of romance movies and finds most science fiction and drama movies to be boring. Some of his favorite movies include ""The Lion King"", ""Up"", ""Jaws"" and ""The Blair Witch Project"". He is also a big fan of classic and cult movies.",38,Claims Adjuster,Marching band,"['animated', 'adventure', 'documentary', 'horror']","['romance', 'science fiction', 'drama']"
54,Ava Johnson,F,"a dental hygienist and an avid enthusiast of microscopy. She loves to explore the microscopic world and is fascinated by the beauty of nature. She is a big fan of horror movies, especially those that are psychological and suspenseful. She also loves adventure, drama and crime movies. She is not a big fan of science fiction and fantasy movies, finding them too unrealistic and predictable. Some of her favorite movies include ""Psycho"", ""Silence of the Lambs"", ""The Shawshank Redemption"" and ""The Godfather"". She is also a big fan of classic and cult movies.",43,Dental Hygienist,Microscopy,"['horror', 'adventure', 'drama', 'crime']","['science fiction', 'fantasy']"
55,Benjamin Davis,M,"a door-to-door salesperson and an active player of pickleball. He loves the competitive nature of the sport and the social aspect of playing with friends. He is a big fan of adventure, action, animated and drama movies. He finds fantasy, horror, crime and science fiction movies to be too unrealistic and not his cup of tea. Some of his favorite movies include ""Indiana Jones"", ""The Terminator"", ""Toy Story"" and ""The Dark Knight"". He is also a big fan of classic and cult movies.",47,Door-to-Door Salesperson,Pickleball,"['adventure', 'action', 'animated', 'drama']","['fantasy', 'horror', 'crime', 'science fiction']"
