name,gender,description,age,job,hobby,categories_liked,categories_disliked
Sophia Peterson,F,"a retired person and loves Railway modelling. She is very much interested in Fiction, Spirit, Mathematics, and Recreation, as per her reading preferences. She likes to read books that are related to these topics, as she finds them very relaxing. She is a very creative person and likes to read books that stimulate her imagination. She is not much interested in Business, Sports, Religion, and Architecture. She believes that these topics are not interesting and do not hold much value. She is a very calm person and likes to focus on things that bring her joy and peace.",72,retired,Railway modelling,"['Fiction', 'Spirit', 'Mathematics', 'Recreation']","['Business', 'Sports', 'Religion', 'Architecture']"
Jacob Nelson,M,"an Industrial Designer and loves Laser tag. He is very much interested in Economics, Crafts, Fiction, and Mind, as per his reading preferences. He likes to read books that are related to these topics, as he finds them very informative. He is a very analytical person and likes to read books that challenge his thinking. He is not much interested in Drama, Recreation, Spirit, and Autobiography. He believes that these topics are not interesting and do not hold much value. He is a very focused person and likes to focus",54,Industrial Designer,Laser tag,"['Economics', 'Crafts', 'Fiction', 'Mind']","['Drama', 'Recreation', 'Spirit', 'Autobiography']"
Alex Johnson,M,"an Aerospace Technician and has a strong passion for shooting. Alex has always been fascinated with the intricacies of aircraft and spacecraft, and he enjoys working on them. He is a highly analytical person and is always looking for ways to improve the performance of the vehicles he works on. In his free time, he enjoys reading books on psychology and engineering, and he is particularly interested in the human mind and how it works. Alex is also a religious person and enjoys reading books on religion, but he is not very interested in books on fitness, computers, or comics. He is a big fan of psychological thrillers and science fiction novels.",35,Aerospace Technician,Shooting,"['Psychology', 'Fiction', 'Engineering', 'Religion']","['Juvenile Fiction', 'Fitness', 'Computers', 'Comics']"
Emily Thompson,F,"an Air Traffic Controller and has a passion for Phillumeny. She is fascinated by the history of matchmaking and loves collecting antique matchboxes and other match-related items. Emily is a highly focused person, and she takes her job very seriously. She enjoys reading books on political science and history, and she is particularly interested in the role of technology in shaping society. She is also a big fan of drama and loves reading books on this subject. Emily is not very interested in books on social science, religion, or mathematics, but she does enjoy a good mystery novel.",33,Air Traffic Controller,Phillumeny,"['Political Science', 'History', 'Drama', 'Juvenile Fiction']","['Social Science', 'Religion', 'Mathematics', 'Fiction']"
John Lee,M,"a schoolchild and has a passion for tennis. He loves playing tennis and is always looking for ways to improve his skills. John is a very curious person, and he loves learning new things. He enjoys reading books on fiction, business, and study aids, and he is particularly interested in books that help him learn new languages. He is not very interested in books on philosophy, engineering, or juvenile nonfiction, but he does enjoy reading autobiographies of famous people.",9,schoolchild,Tennis,"['Fiction', 'Business', 'Study Aids', 'Foreign Language Study']","['Philosophy', 'Engineering', 'Juvenile Nonfiction', 'Autobiography']"
Sarah Smith,F,"an Interior Designer and has a passion for flying. She is a licensed pilot and enjoys flying her own plane. Sarah is a very creative person, and she loves using her imagination to design beautiful spaces. She enjoys reading books on psychology and recreation, and she is particularly interested in books that help her improve her design skills. She is also a big fan of biographies and loves reading about famous people. She is not very interested in books on political science, autobiography, or drama, but she does enjoy reading juvenile fiction.",56,Interior Designer,Flying,"['Psychology', 'Recreation', 'Biography', 'Fiction']","['Political Science', 'Autobiography', 'Drama', 'Juvenile Fiction']"
Emma Parker,F,"a schoolchild who loves playing video games. She is very interested in sports, especially in soccer and basketball. She enjoys reading fiction books that are action-packed and adventurous. She also likes to read books about computers and technology, as she is fascinated by the endless possibilities that these fields offer. She is also interested in psychology and likes to read books that delve into the human mind and behavior.",4,schoolchild,Playing video games,"['Fiction', 'Sports', 'Computers', 'Psychology']","['Recreation', 'Biography', 'Medical', 'Hobbies']"
Max Johnson,M,"a schoolchild who loves to draw and paint. He is very interested in science and likes to read books about astronomy, physics, and biology. He also enjoys reading fiction books that are imaginative and thought-provoking. He likes to read poetry and is particularly interested in the works of William Shakespeare. He also likes to read books about computers and technology, as he is fascinated by the endless possibilities that these fields offer. He is not very interested in Autobiography, Spirit, Self-Help, and True Crime.",5,schoolchild,Drawing and painting,"['Science', 'Fiction', 'Poetry', 'Computers']","['Autobiography', 'Spirit', 'Self-Help', 'True Crime']"
Sophia Garcia,F,"a physician assistant who loves to go sledding in her free time. She is very interested in juvenile fiction and enjoys reading books that are written for children. She also likes to read poetry, especially works by Maya Angelou and Langston Hughes. She enjoys reading fiction books that are character-driven and emotionally resonant. She is also interested in social science and likes to read books about psychology, sociology, and anthropology. She is not very interested in Self-Help, History, Biography, and Body. Some of her favorite books include ""To Kill a Mockingbird"" by Harper Lee, ""The Catcher in the Rye"" by J.D. Salinger, and ""The Bell Jar"" by Sylvia Plath.",47,Physician Assistant,Sledding,"['Juvenile Fiction', 'Poetry', 'Fiction', 'Social Science']","['Self-Help', 'History', 'Biography', 'Body']"
Ethan Thompson,M,"a retired person who loves to go birdwatching in his free time. He is very interested in true crime and enjoys reading books about famous criminal cases. He also likes to read books about the human mind and behavior, particularly those that deal with psychology and philosophy. He enjoys playing games, especially crossword puzzles and Sudoku. He is not very interested in Business, Psychology, Fiction, and Comics. Some of his favorite books include ""In Cold Blood"" by Truman Capote, ""The Mind's I"" by Douglas R. Hofstadter, and ""The Art of Lying"" by Robert Feldman.",68,retired,Birdwatching,"['True Crime', 'Mind', 'Games', 'Philosophy']","['Business', 'Psychology', 'Fiction', 'Comics']"
Aaliyah Patel,F,"a student and her main hobby is freestyle football which she practices every day. She loves listening to music and her favorite genres are hip-hop and rap. She enjoys traveling and has been to several countries in Europe and Asia. She loves reading fictional books and her favorite authors are George R.R. Martin and J.K. Rowling. She also enjoys recreational activities like hiking and swimming. In terms of movies, she enjoys action and adventure movies, her favorite movies are ""Mad Max: Fury Road"" and ""The Lord of the Rings: The Return of the King"".",22,student,Freestyle football,"['Music', 'Travel', 'Fiction', 'Recreation']","['History', 'Performing Arts', 'Business', 'Young Adult Fiction']"
Ethan Thompson,M,"a zookeeper and his main hobby is urban exploration. He loves reading fiction and juvenile fiction books, his favorite authors are J.R.R. Tolkien and C.S. Lewis. He is also interested in religion and autobiographies. In his free time, he enjoys playing chess and watching documentaries. He enjoys movies that are based on true stories, his favorite movies are ""Into the Wild"" and ""The Secret Life of Walter Mitty"".",41,Zookeeper,Urban exploration,"['Fiction', 'Juvenile Fiction', 'Religion', 'Autobiography']","['History', 'Self-Help', 'Hobbies', 'Mind']"
Maya Rodriguez,F,"a digital marketer and her main hobby is powerboat racing. She loves reading books about history, computers and nature. Her favorite genres are non-fiction and medical books. She enjoys watching movies that are based on true stories, her favorite movies are ""The Imitation Game"" and ""The Theory of Everything"".",47,Digital Marketer,Powerboat racing,"['History', 'Computers', 'Nature', 'Medical']","['Fiction', 'Religion', 'Family', 'Mind']"
Oliver Smith,M,"retired and his main hobby is reading about history. He loves reading fiction, biography, computers and nature books. His favorite genres are mystery and thriller. He enjoys watching movies that are based on true stories, his favorite movies are ""The Shawshank Redemption"" and ""The Godfather"".",69,retired,History,"['Fiction', 'Biography', 'Computers', 'Nature']","['Religion', 'Young Adult Fiction', 'Juvenile Fiction', 'Graphic Novels']"
Nisha Patel,F,"retired and has a great interest in fitness and health. In her free time, she enjoys reading books that are related to health and wellness. She is a big fan of J.K Rowling and loves reading her books such as Harry Potter series. She also enjoys reading books that are related to economics, such as books by Thomas Piketty. She is not much into cookbooks and dislikes books related to business. She is also not interested in Juvenile Nonfiction books. In terms of movies, she likes watching documentaries and biographies, as well as independent and foreign films.",71,retired,Fitness,"['Juvenile Fiction', 'Fiction', 'Economics', 'Autobiography']","['Business', 'Body', 'Cooking', 'Juvenile Nonfiction']"
Mark Johnson,M,"retired and has a great interest in knife collecting. In his free time, he enjoys reading books about different types of knives and their history. He is a big fan of Michael Crichton and loves reading his books such as Jurassic Park. He also enjoys reading books that are related to sports, such as books by David Foster Wallace. He is not much into books related to history, biography and cooking. He is also not interested in books related to economics and engineering. In terms of movies, he likes watching action and adventure movies.",62,retired,Knife collecting,"['Sports', 'History', 'Pets', 'Engineering']","['Economics', 'Biography', 'Cooking', 'Disciplines']"
Sarah Lee,F,"retired and has a great interest in Snorkeling. In her free time, she enjoys reading books that are related to fitness and health. She is a big fan of Elizabeth Gilbert and loves reading her books such as Eat, Pray, Love. She also enjoys reading books that are related to philosophy, such as books by Jean-Paul Sartre. She is not much into books related to Juvenile Fiction, Science, and Fiction. She is also not interested in books related to family. In terms of movies, she likes watching romantic and comedy movies.",62,retired,Snorkeling,"['Fitness', 'Philosophy', 'Cooking', 'Health']","['Juvenile Fiction', 'Science', 'Fiction', 'Family']"
David Martin,M,"a producer and has a great interest in Deltiology (postcard collecting). In his free time, he enjoys reading books about different types of postcards and their history. He is a big fan of Stephen King and loves reading his books such as The Shining. He also enjoys reading books that are related to performing arts, such as books by William Shakespeare. He is not much into books related to Juvenile Fiction, Pets, History, and Architecture. In terms of movies, he likes watching horror and suspense movies.",46,Producer,Deltiology (postcard collecting),"['Performing Arts', 'Fiction', 'Juvenile Nonfiction', 'Crafts']","['Juvenile Fiction', 'Pets', 'History', 'Architecture']"
Ava Parker,F,"a detective and her work has made her a critical thinker, she loves spending time outdoors, particularly camping, which allows her to connect with nature and recharge. Ava is also an avid reader, she enjoys reading books that challenge her intellect and expands her knowledge. She has a particular interest in computers, education, philosophy, and economics. She finds books that delve into these subjects to be fascinating and always looks for new and thought-provoking perspectives. She also enjoys reading about history, particularly the 20th century.",45,Detective,Camping,"['Computers', 'Education', 'Philosophy', 'Economics']","['Juvenile Nonfiction', 'Mathematics', 'Fiction', 'Juvenile Fiction']"
Eric,M,"a dietician and his work has made him to be passionate about health and fitness. He also enjoys driving, he finds it as a way to relax and clear his mind. He is an avid reader, his reading preferences are focused on fitness, autobiography, psychology, and recreation. He loves reading books that inspire him to lead a healthy lifestyle and to help others do the same. He also enjoys reading about psychology, particularly the mind-body connection and the role of nutrition in mental health. He also has a particular interest in recreation, particularly hiking and camping.",57,Dietician,Driving,"['Fitness', 'Autobiography', 'Psychology', 'Recreation']","['History', 'Technology', 'Crafts', 'Juvenile Fiction']"
Emma,F,"retired and her free time is spent on digital hoarding. She enjoys collecting digital items, such as eBooks, music, and videos. She is an avid reader, her reading preferences are focused on biography, history, fiction, and drama. She loves reading books that transport her to different times and places, and that allow her to learn about different cultures and historical events. She also enjoys reading fiction, particularly historical fiction and classics.",62,retired,Digital hoarding,"['Biography', 'History', 'Fiction', 'Drama']","['Mind', 'Social Science', 'Philosophy', 'Sports']"
Thomas,M,"retired and his hobby is rock balancing, which he finds it as a way to express his creativity and to challenge his mind. He is an avid reader, his reading preferences are focused on mathematics, crafts, economics, and biography. He loves reading books that challenge his intellect and that provide him with new perspectives on these subjects. He also enjoys reading about history, particularly the 19th century. He also has a particular interest in biography, particularly of scientists and mathematicians.",70,retired,Rock balancing,"['Mathematics', 'Crafts', 'Economics', 'Biography']","['Gardening', 'Self-Help', 'Photography', 'Fiction']"
Alex Johnson,M,"a dispatch operator and he enjoys playing Mahjong on his free time. He is a nature lover, he loves to go camping and hiking, he also enjoys reading books about nature and crafts. He is a fan of mystery and thriller novels, his favorite book in this category is ""The Silence of the Lambs"" by Thomas Harris. He also enjoys reading books about history and politics, his favorite book in this category is ""1984"" by George Orwell. He enjoys watching movies that are based on true stories and historical events, his favorite movies are ""The Shawshank Redemption"" and ""Schindler's List"".",50,Dispatch Operator,Mahjong,"['Crafts', 'Fiction', 'House', 'Nature']","['Autobiography', 'Performing Arts', 'Juvenile Fiction', 'Home']"
Lily Chen,F,"a schoolchild and she loves playing board games with her family and friends. She enjoys reading books that are fun and lighthearted, her favorite book in this category is ""The Diary of a Wimpy Kid"" by Jeff Kinney. She also enjoys reading books about animals and adventure, her favorite book in this category is ""The One and Only Ivan"" by Katherine Applegate. She enjoys watching movies that are animated and family-friendly, her favorite movies are ""Frozen"" and ""Moana"".",4,schoolchild,Board games ,"['Recreation', 'Fitness', 'Fiction', 'Humor']","['Religion', 'Biography', 'History', 'Travel']"
Henry Brown,M,"a librarian and he enjoys solving mathematical problems. He is a religious person, he enjoys reading books about theology and philosophy, his favorite book in this category is ""Mere Christianity"" by C.S. Lewis. He also enjoys reading books about technology and futurism, his favorite book in this category is ""The Singularity is Near"" by Ray Kurzweil. He enjoys watching movies that are based on true stories and historical events, his favorite movies are ""The Imitation Game"" and ""The Theory of Everything"".",45,Librarian,Mathematics,"['Religion', 'Technology', 'Fitness', 'Fiction']","['Juvenile Fiction', 'Relationships', 'Disciplines', 'Business']"
Emily Lee,F,a plumber and she enjoys participating in scouting activities. She is interested in self-improvement and,49,Plumber,Scouting,"['Disciplines', 'Fiction', 'Philosophy', 'Poetry']","['Political Science', 'Science', 'Comics', 'Religion']"
Ava Johnson,F,"in school, her favorite hobby is collecting cards, she really likes to collect cards of different types, like Pokemon cards, Magic cards, and many more. She is really passionate about it and spends most of her free time collecting and sorting her cards. She is also very curious and always wants to learn new things, that's why she enjoys reading books that are related to Psychology and Child development. She finds it fascinating how the mind works and how to understand and improve herself. She also likes to read Graphic Novels, as she finds the pictures and the story very interesting and easy to understand. She is not very fond of reading History books, as she finds it boring and not very interesting. She also doesn't like reading Juvenile Fiction and Activities books, as she finds them not very challenging and not very engaging.",4,schoolchild,Collecting cards,"['Fiction', 'Juvenile Nonfiction', 'Graphic Novels', 'Psychology']","['History', 'Juvenile Fiction', 'Activities', 'Mind']"
Ethan Brown,M,"an Industrial Designer, and he loves his job as it allows him to be creative and innovative. His favorite hobby is playing poker with his friends, as he finds it exciting and challenging. He also enjoys reading books, his favorite categories are Crafts, Health and Body, and Fiction. He likes to read about different DIY projects and how to improve his health and wellness. He also enjoys reading fiction books as it allows him to escape reality and explore new worlds. He is not very fond of reading Photography books, as he doesn't find it interesting and doesn't have a passion for it. He also doesn't like reading Autobiography, Recreation and Education books, as he finds them not very engaging and not very relevant to his interests.",43,Industrial Designer,Poker,"['Crafts', 'Health', 'Body', 'Fiction']","['Photography', 'Autobiography', 'Recreation', 'Education']"
Olivia Thompson,F,"a Chef and she loves her job as it allows her to be creative and experiment with different flavors. Her favorite hobby is canoeing, as she loves being in nature and the feeling of freedom it gives her. She also enjoys reading books, her favorite categories are Fitness, Mathematics and Fiction. She likes to read about different workout routines and how to improve her math skills. She also enjoys reading fiction books as it allows her to escape reality and explore new worlds. She is not very fond of reading Cooking books, as she finds it not very challenging and not very engaging. She also doesn't like reading Spirit, Juvenile Fiction and Autobiography books, as she finds them not very relevant to her interests and not very engaging.",59,Chef,Canoeing,"['Fitness', 'Mathematics', 'Fiction', 'Computers']","['Cooking', 'Spirit', 'Juvenile Fiction', 'Autobiography']"
James Johnson,M,"a Bailiff, and he loves his job as it allows him to be in control and make sure that the justice system runs smoothly. His favorite hobby is Longboarding, as he loves the feeling of freedom and the adrenaline rush it gives him. He also enjoys reading books, his favorite categories are",46,Bailiff,Longboarding,"['History', 'Autobiography', 'Mind', 'Health']","['Business', 'Fiction', 'Juvenile Nonfiction', 'Computers']"
Lily Johnson,F,"a veterinarian by profession and an avid collector of banknotes and coins. Her love for animals dates back to her childhood when she used to spend most of her time on her grandfather's farm. She has always been fascinated by the intricate designs on banknotes and coins and has made it her hobby to collect them. She enjoys reading books on science, biography and computers and finds them very interesting. She is a big fan of J.K Rowling and loves reading Harry Potter series. She finds it very difficult to read books on economics, humor, and poetry, as she finds them uninteresting. She is a big believer in the power of knowledge and enjoys reading books that can broaden her knowledge and skill set. She is always looking for new books to read and add to her collection.",28,Veterinarian,Notaphily (banknote collecting),"['Juvenile Nonfiction', 'Biography', 'Computers', 'Science']","['Humor', 'Poetry', 'Economics', 'Cooking']"
James Thompson,M,"a librarian by profession and has a keen interest in beauty pageants. He has been a judge at various beauty pageants and is known for his impeccable taste and sense of style. He loves reading books on philosophy, history, language arts and economics. He finds them very interesting and believes that they broaden his knowledge and skill set. He is not a big fan of fiction, medical, business, and computers. He finds them uninteresting and prefers to stay away from them. He is always on the lookout for new books to read and add to his collection. He is a big believer in the power of knowledge and enjoys reading books that can broaden his knowledge and skill set.",40,Librarian,Beauty pageants,"['Philosophy', 'History', 'Language Arts', 'Economics']","['Fiction', 'Medical', 'Business', 'Computers']"
Emily Wilson,F,"a student by profession and has a passion for video game collecting. She loves spending her time playing and collecting video games. She enjoys reading books on history, science, fiction, and art. She finds them very interesting and believes that they broaden her knowledge and skill set. She is not a big fan of foreign language study, computers, biography, and sports. She finds them uninteresting and prefers to stay away from them. She is always on the lookout for new books to read and add to her collection. She is a big believer in the power of knowledge and enjoys reading books that can broaden her knowledge and skill set.",20,student,Video game collecting,"['History', 'Science', 'Fiction', 'Art']","['Foreign Language Study', 'Computers', 'Biography', 'Sports']"
Mark Johnson,M,"a car salesperson by profession and has a passion for book folding. He loves to create intricate and unique designs with books and has made it his hobby. He enjoys reading books on fiction, biography, photography, and house. He finds them very interesting and believes that they broaden his knowledge and skill set. He is not a big fan of travel, economics, education, and psychology. He finds them uninteresting and prefers to stay away from them. He is always on the lookout for new books to read and add to his collection. He is a big believer in the power of knowledge and enjoys reading books that can broaden his knowledge and skill set.",42,Car Salesperson,Book folding,"['Fiction', 'Biography', 'Photography', 'House']","['Travel', 'Economics', 'Education', 'Psychology']"
Emily Johnson,F,"a diesel mechanic by trade and a successful entrepreneur. She is passionate about her job and always eager to learn more about diesel engines. She has a keen interest in business and entrepreneurship, which led her to start her own business. She is also interested in autobiography, fiction and education. Emily enjoys reading about successful business leaders and their journey to success. She finds inspiration in these stories and applies them to her own business. Her least favorite category is Spirit, Mind, History, and Mathematics as she finds them boring and not relevant to her interests.",49,Diesel Mechanic,Entrepreneurship,"['Business', 'Autobiography', 'Fiction', 'Education']","['Spirit', 'Mind', 'History', 'Mathematics']"
Alex Brown,M,"currently in school and loves learning new things. He is particularly interested in learning a new language, Spanish. He enjoys reading fiction books and religious texts, as well as economics. He has a particular interest in juvenile fiction, as he loves reading stories about adventure and magic. Alex's least favorite categories are Self-Help, Recreation, Biography, and Business. He finds these categories to be boring and not relevant to his interests.",5,schoolchild,Learning a new language,"['Fiction', 'Religion', 'Juvenile Fiction', 'Economics']","['Self-Help', 'Recreation', 'Biography', 'Business']"
Samantha Lee,F,"an apprentice and has a passion for orienteering. She enjoys reading about health, fitness, and recreational activities. She also enjoys reading about education and personal development. Samantha's least favorite categories are Fiction, Biography, Computers, and History. She finds these categories to be uninteresting and not relevant to her interests.",22,apprentice,Orienteering,"['Health', 'Fitness', 'Recreation', 'Education']","['Fiction', 'Biography', 'Computers', 'History']"
David Thompson,M,"a CIO (Chief Information Officer) and has a passion for geocaching. He enjoys reading about various disciplines, economics, psychology, and medical topics. He finds these topics to be interesting and relevant to his job. David's least favorite categories are Computers, Engineering, Spirit, and Performing Arts. He finds these categories to be boring and not relevant to his interests.",36,CIO (Chief Information Officer),Geocaching,"['Disciplines', 'Economics', 'Psychology', 'Medical']","['Computers', 'Engineering', 'Spirit', 'Performing Arts']"
Emily Taylor,F,"a librarian and her main hobby is water sports, she is also a passionate reader who enjoys reading books from different genres, her favorite category is history, mind and fiction, she loves reading stories that are based on real events and characters, she also enjoys reading books that are based on psychological and philosophical themes, she finds it interesting to read about the human mind and the complexities of the human experience. She also enjoys reading Juvenile fiction, she finds it refreshing to read books that are written for children, as they have a unique perspective on the world and the stories are often full of imagination and creativity, but she doesn't like reading books about hobbies, music, gardening and science, she finds them boring and not interesting. She is an introvert person who enjoys spending time alone, reading books, and going for water sports.",44,Librarian,Water sports,"['History', 'Mind', 'Fiction', 'Juvenile Fiction']","['Hobbies', 'Music', 'Gardening', 'Science']"
Alex Johnson,M,"an engineer, his main hobby is kayaking, he enjoys the physical and mental challenge of paddling on different rivers and lakes, he is also a voracious reader who enjoys reading books from different genres, his favorite category is economics, education, literary criticism, and self-help, he loves reading books that are related to his profession, and also books that are related to personal development and self-improvement, he finds it interesting to read about the economy and how it affects the world, he also enjoys reading books that are related to education, and how to improve the education system, he also enjoys reading books that are related to literary criticism, and how to analyze literature, he also enjoys reading self-help books, which are related to personal development, and how to improve one's life. He doesn't like reading books about true crime, hobbies, comics, and fiction, he finds them boring and not relevant to his interests. He is a logical and analytical person who enjoys reading books that are related to his profession and personal development.",44,Engineer,Kayaking,"['Economics', 'Education', 'Literary Criticism', 'Self-Help']","['True Crime', 'Hobbies', 'Comics', 'Fiction']"
Olivia Brown,F,"a schoolchild, her main hobby is swimming, she enjoys the feeling of freedom and the exercise that comes with swimming, she is also a young and budding reader who enjoys reading books from different genres, her favorite category is science, business, social science, and fitness, she loves reading books that are related to science, and how the world works, she also enjoys reading books that are related to business, and how to start and run a business, she also enjoys reading books that are related to social science, and how society works, she also enjoys reading books that are related to fitness, and how to maintain a healthy lifestyle. She doesn't like reading books about law, activities, Juvenile Fiction, and Music, she finds them boring and not interesting for her age. She is a curious and energetic person who enjoys reading books that are related to science, business, social science, and fitness.",10,schoolchild,Swimming,"['Science', 'Business', 'Social Science', 'Fitness']","['Law', 'Activities', 'Juvenile Fiction', 'Music']"
Samuel Garcia,M,"an aerospace engineer, his main",31,Aerospace Engineer,Storm chasing,"['Music', 'Biography', 'Fiction', 'Language Arts']","['Mind', 'Gardening', 'Spirit', 'Literary Collections']"
Alex Johnson,M,"a Dialysis Technician, and in his free time, he enjoys playing pickleball, which he finds to be a great way to stay active and connect with others. He is also a big fan of learning, and his favorite categories to read are psychology, performing arts, science, and philosophy. He finds psychology to be fascinating as it helps him understand human behavior and relationships better. He is also a big fan of the performing arts, and he enjoys reading about the history of theater and dance. He is also interested in science and philosophy, as they help him understand the world around him better. He is not a big fan of fiction, as he finds it to be unrealistic and not based on facts. He also dislikes reading about mind and medical topics, as he finds them to be too technical and not interesting.",57,Dialysis Technician,Pickleball,"['Psychology', 'Performing Arts', 'Science', 'Philosophy']","['Fiction', 'Religion', 'Mind', 'Medical']"
Emily Chen,F,"a schoolchild, and in her free time, she enjoys swimming, which she finds to be a great way to stay active and healthy. She is also a big fan of reading, and her favorite categories to read are fiction, computers, sports, and cooking. She loves reading fiction, because it allows her to escape into different worlds and imagine new things. She is also interested in computers and sports, because she finds them to be exciting and ever-changing. She also enjoys reading cooking books, because she loves to cook and experiment with new recipes. She is not a big fan of reference, education, biography, and foreign language study, as she finds them to be too boring and not interesting.",13,schoolchild,Swimming,"['Fiction', 'Computers', 'Sports', 'Cooking']","['Reference', 'Education', 'Biography', 'Foreign Language Study']"
John Smith,M,"a Meteorologist, and in his free time, he enjoys canyoning, which he finds to be a great way to stay active and adventurous. He is also a big fan of reading, and his favorite categories to read are biography, medical, history, and spirituality. He is interested in reading biographies, because he loves to learn about different people's lives and experiences. He is also interested in medical and history books, as he finds them to be informative and educational. He is also interested in spirituality and finds it to be a great way to reflect on his own beliefs and values. He is not a big fan of business, religion, humor, and fiction, as he finds them to be uninteresting and not informative.",39,Meteorologist,Canyoning,"['Biography', 'Medical', 'History', 'Spirit']","['Business', 'Religion', 'Humor', 'Fiction']"
Sarah Kim,F,"retired, and in her free time, she enjoys urban exploration, which she finds to be a great way to stay active and discover new places. She is also a big fan of reading, and her favorite categories to read are fiction, history, relationships, and political science. She loves reading fiction, because it allows her to escape into different worlds and imagine new things. She is also interested in history and political science, as she finds them to be informative and educational. She is also interested in relationships, as she loves to read about different perspectives and experiences. She is not a big fan of home, business, cooking, and juvenile fiction, as she finds them to be uninteresting and not informative.",63,retired,Urban exploration,"['Fiction', 'History', 'Relationships', 'Political Science']","['Home', 'Business', 'Cooking', 'Juvenile Fiction']"
